"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"ZM",2005,"actual","total-expenditure","recurrent-expenditure",,,,,58.28,1e+08,48.28,10
"BF",2009,"actual","financing",,,,,,0,1e+10,9.9,9.9
"GE",2005,"actual","total-revenue-and-grants","revenue","tax-revenue","indirect-taxes",,,13.96,1e+08,23.84,9.88
"None",2020,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,20.9509,1e+10,11.1391,9.8118
"HN",2010,"actual","financing",,,,,,13.972,1e+09,23.754,9.782
"HN",2009,"actual","financing","domestic-financing",,,,,2.188,1e+09,11.898,9.71
"DZ",2013,"actual","total-expenditure",,,,,,69.96,1e+11,60.25,9.70999999999999
"None",2019,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,19.5889,1e+10,10.2927,9.2962
"ZM",2021,"proj","total-expenditure",,,,,,82.566,1e+09,91.754,9.188
"ZM",2021,"proj","total-expenditure","capital-expenditure",,,,,17.91,1e+09,8.722,9.188
"LK",2006,"actual","financing","net-domestic-financing",,,,,7.3467,1e+10,16.456608,9.109908
"MG",2000,"actual","financing","net-external-finance",,,,,9.15,1e+10,18.16,9.01
"AZ",2011,"actual","total-expenditure","recurrent-expenditures",,,,,9.16,1e+09,0.21,8.95
"ve",2011,"proj","total-expenditure","current-expenditure",,,,,28.506561,1e+10,37.2731586,8.7665976
"ve",2011,"proj","total-expenditure",,,,,,37.2731586,1e+10,28.506561,8.7665976
"None",2018,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,18.2999,1e+10,9.6245,8.6754
"NP",2008,"actual","total-expenditure","recurrent-expenditure",,,,,9.15,1e+10,0.64,8.51
"TD",2018,"proj","financing","net-external-finance",,,,,0.93,1e+10,9.33,8.4
"HN",2012,"actual","financing","domestic-financing",,,,,3.62044,1e+09,11.947452,8.327012
"NE",2011,"actual","total-revenue-and-grants","grants",,,,,11.35,1e+10,19.59,8.24
"None",2017,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,17.2442,1e+10,9.0086,8.2356
"AZ",2010,"actual","total-expenditure","recurrent-expenditures",,,,,8.157,1e+09,0.039,8.118
"GM",2020,"proj","total-expenditure","recurrent-expenditure","interest-payments",,,,2.605,1e+09,10.611,8.006
"SB",2004,"actual","total-expenditure","recurrent-expenditure",,,,,43.4,1e+07,35.4,7.99999999999999
"GM",2020,"proj","total-expenditure","recurrent-expenditure","interest-payments",,,,2.612,1e+09,10.611,7.999
"GM",2020,"proj","total-expenditure","recurrent-expenditure","interest-payments",,,,2.655,1e+09,10.611,7.956
"GM",2020,"proj","total-expenditure","recurrent-expenditure","interest-payments",,,,2.738,1e+09,10.611,7.873
"ML",2007,"actual","total-revenue-and-grants","grants",,,,,16.04,1e+10,8.19,7.85
"ve",2012,"proj","total-expenditure","current-expenditure",,,,,38.7076899,1e+10,46.5063554,7.79866550000001
"ve",2012,"proj","total-expenditure",,,,,,46.5063554,1e+10,38.7076899,7.7986655
"NE",2005,"actual","total-revenue-and-grants","grants",,,,,10.22,1e+10,18.01,7.79
"MG",2016,"actual","financing","net-external-finance",,,,,3.1772,1e+11,10.80248,7.62528
"AZ",2009,"actual","total-expenditure","recurrent-expenditures",,,,,7.649,1e+09,0.036,7.613
"ZM",2020,"proj","total-expenditure","capital-expenditure",,,,,15.733,1e+09,8.178,7.555
"ZM",2020,"proj","total-expenditure",,,,,,74.882,1e+09,82.437,7.55499999999999
"NG",2023,"proj","total-revenue-and-grants","revenue","oil-revenue",,,,8.091,1e+12,0.551,7.54
"ZM",2015,"actual","total-expenditure",,,,,,50.701,1e+09,58.23,7.529
"ZM",2015,"actual","total-expenditure","capital-expenditure",,,,,12.193,1e+09,4.664,7.529
"MG",2017,"proj","financing","net-external-finance",,,,,2.50866,1e+11,10.03464,7.52598
"MG",2015,"actual","financing","net-external-finance",,,,,5.14548,1e+11,12.57784,7.43236
"NE",2012,"actual","total-revenue-and-grants","grants",,,,,21.65,1e+10,28.96,7.31
"MV",2013,"actual","financing","net-external-finance",,,,,-0.48,1e+09,6.665,7.145
"NP",2007,"actual","total-expenditure","recurrent-expenditure",,,,,7.71,1e+10,0.62,7.09
"TN",2017,"actual","financing","net-external-finance",,,,,5.449,1e+09,12.475,7.026
